Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,0.831281,0.853198,0.830741,0.849472,0.849472,1156464024
2022-01-02,0.849442,0.863558,0.839157,0.859118,0.859118,1134033205
2022-01-03,0.859107,0.859107,0.824052,0.832885,0.832885,1428968710
2022-01-04,0.832851,0.844076,0.819615,0.824673,0.824673,1514079366
2022-01-05,0.824714,0.835533,0.732704,0.774358,0.774358,2252733064
2022-01-06,0.774300,0.789217,0.744292,0.781346,0.781346,2165022786
2022-01-07,0.781270,0.781270,0.734617,0.763074,0.763074,2329624598
2022-01-08,0.763106,0.775084,0.727803,0.747688,0.747688,1792091501
2022-01-09,0.747733,0.766321,0.741534,0.754505,0.754505,1182503166
2022-01-10,0.754428,0.758513,0.705479,0.739335,0.739335,2014043704
2022-01-11,0.739356,0.773461,0.734151,0.770554,0.770554,1897366203
2022-01-12,0.770608,0.806048,0.759646,0.799548,0.799548,1976047994
2022-01-13,0.799455,0.800951,0.763082,0.768328,0.768328,1578656460
2022-01-14,0.768358,0.789356,0.755628,0.774297,0.774297,1576111969
2022-01-15,0.774309,0.788864,0.770949,0.781423,0.781423,1029135167
2022-01-16,0.781308,0.783962,0.770953,0.778954,0.778954,1005077258
2022-01-17,0.778999,0.780180,0.752352,0.762742,0.762742,1406443014
2022-01-18,0.762769,0.768049,0.739464,0.752631,0.752631,1510069237
2022-01-19,0.752614,0.753155,0.726485,0.739749,0.739749,1446126322
2022-01-20,0.739726,0.761583,0.719402,0.719421,0.719421,1251475248
2022-01-21,0.719609,0.728245,0.623196,0.635738,0.635738,3150758603
2022-01-22,0.636006,0.651793,0.559421,0.596042,0.596042,3613862355
2022-01-23,0.596193,0.633995,0.593826,0.628756,0.628756,1851934913
2022-01-24,0.628770,0.628770,0.558668,0.612139,0.612139,2759980202
2022-01-25,0.612144,0.621229,0.589888,0.617563,0.617563,1731121388
2022-01-26,0.617544,0.652549,0.608588,0.622072,0.622072,2302112575
2022-01-27,0.621945,0.623508,0.591465,0.608770,0.608770,1586137620
2022-01-28,0.608619,0.612861,0.593397,0.612512,0.612512,1318006848
2022-01-29,0.612491,0.623406,0.610258,0.616935,0.616935,958847124
2022-01-30,0.617006,0.622546,0.599771,0.603181,0.603181,870878596
2022-01-31,0.603063,0.622314,0.582848,0.619149,0.619149,1266538239
2022-02-01,0.619006,0.630317,0.613050,0.629233,0.629233,1183031072
2022-02-02,0.629240,0.630695,0.599138,0.601483,0.601483,1182736030
2022-02-03,0.601415,0.607684,0.592349,0.607684,0.607684,1042290345
2022-02-04,0.607620,0.656496,0.605169,0.655877,0.655877,1543180484
2022-02-05,0.655831,0.683682,0.652268,0.667127,0.667127,1760389771
2022-02-06,0.667127,0.685193,0.662347,0.683647,0.683647,1095140341
2022-02-07,0.683592,0.834155,0.674402,0.827819,0.827819,4197403037
2022-02-08,0.828377,0.911137,0.806161,0.878194,0.878194,6159382645
2022-02-09,0.877515,0.909067,0.847401,0.870627,0.870627,3760269362
2022-02-10,0.870876,0.894615,0.829907,0.830010,0.830010,3535002566
2022-02-11,0.829941,0.829941,0.754331,0.760226,0.760226,3346204748
2022-02-12,0.760250,0.848838,0.753024,0.822408,0.822408,3457258389
2022-02-13,0.822233,0.844300,0.796277,0.810273,0.810273,2504198747
2022-02-14,0.809873,0.810474,0.782551,0.802218,0.802218,2401300497
2022-02-15,0.802246,0.855857,0.798296,0.852333,0.852333,2249706300
2022-02-16,0.852377,0.852377,0.813139,0.839036,0.839036,2165008058
2022-02-17,0.838714,0.844133,0.758223,0.767173,0.767173,2798023719
2022-02-18,0.767286,0.803905,0.760330,0.785890,0.785890,2913093056
2022-02-19,0.785865,0.849816,0.773650,0.822528,0.822528,3325442943
2022-02-20,0.822538,0.822672,0.769985,0.778296,0.778296,3041836889
2022-02-21,0.778160,0.799750,0.701989,0.703466,0.703466,3580522306
2022-02-22,0.703333,0.725191,0.678787,0.722833,0.722833,3539593096
2022-02-23,0.722852,0.738923,0.696280,0.698746,0.698746,2690184820
2022-02-24,0.698580,0.712891,0.627094,0.696272,0.696272,5146799150
2022-02-25,0.696258,0.768903,0.685794,0.768903,0.768903,3460713330
2022-02-26,0.768645,0.788187,0.743646,0.750973,0.750973,3051695701
2022-02-27,0.750966,0.764873,0.710873,0.721992,0.721992,2733141782
2022-02-28,0.721931,0.788322,0.713188,0.782044,0.782044,3053923291
2022-03-01,0.782070,0.800635,0.761234,0.784862,0.784862,2877778057
2022-03-02,0.784876,0.784891,0.759598,0.768496,0.768496,2401047273
2022-03-03,0.768532,0.783925,0.738920,0.752185,0.752185,2213014779
2022-03-04,0.752296,0.753052,0.705611,0.712672,0.712672,2359803521
2022-03-05,0.712790,0.766085,0.707479,0.754900,0.754900,2297850919
2022-03-06,0.754923,0.758384,0.725764,0.725994,0.725994,1862292224
2022-03-07,0.726011,0.751668,0.709958,0.723287,0.723287,2920222453
2022-03-08,0.723231,0.729287,0.715939,0.720977,0.720977,1907305640
2022-03-09,0.721006,0.769889,0.721006,0.767236,0.767236,2408572082
2022-03-10,0.767027,0.775500,0.726568,0.737465,0.737465,2418938595
2022-03-11,0.737506,0.808333,0.727623,0.802155,0.802155,3478317257
2022-03-12,0.802229,0.845962,0.782059,0.786587,0.786587,3730330472
2022-03-13,0.786538,0.803632,0.758408,0.761351,0.761351,2141326402
2022-03-14,0.761376,0.775935,0.752574,0.774656,0.774656,2212291022
2022-03-15,0.774637,0.775811,0.745635,0.766783,0.766783,1830181545
2022-03-16,0.766747,0.793615,0.759219,0.793538,0.793538,2480411473
2022-03-17,0.793436,0.800568,0.784439,0.793503,0.793503,1862028805
2022-03-18,0.793451,0.799112,0.779351,0.798266,0.798266,1850743124
2022-03-19,0.798127,0.825233,0.793609,0.819373,0.819373,2046393370
2022-03-20,0.819379,0.820814,0.798249,0.806121,0.806121,1529598149
2022-03-21,0.805963,0.851126,0.792160,0.838152,0.838152,2485293314
2022-03-22,0.838035,0.862926,0.829988,0.837097,0.837097,2370573276
2022-03-23,0.837134,0.844146,0.820573,0.837887,0.837887,2076377569
2022-03-24,0.837857,0.849328,0.829627,0.842968,0.842968,2278978187
2022-03-25,0.842968,0.844085,0.822874,0.825127,0.825127,1600059784
2022-03-26,0.825153,0.834307,0.822325,0.832772,0.832772,1056420320
2022-03-27,0.832815,0.857376,0.830339,0.857343,0.857343,1505124770
2022-03-28,0.857408,0.908086,0.855211,0.863304,0.863304,3205464277
2022-03-29,0.863089,0.884441,0.848861,0.858000,0.858000,2120020042
2022-03-30,0.857942,0.871279,0.849425,0.860814,0.860814,1832671641
2022-03-31,0.860880,0.870866,0.803881,0.814564,0.814564,2611691934
2022-04-01,0.814709,0.833678,0.810256,0.827740,0.827740,2091887103
2022-04-02,0.827735,0.848600,0.824828,0.824919,0.824919,1624227101
2022-04-03,0.824891,0.850154,0.817265,0.842950,0.842950,1348476817
2022-04-04,0.842923,0.842952,0.810890,0.827251,0.827251,1876069127
2022-04-05,0.827227,0.833287,0.817110,0.817642,0.817642,1548706718
2022-04-06,0.817627,0.818405,0.761285,0.761314,0.761314,2527126540
2022-04-07,0.761361,0.789484,0.758114,0.788000,0.788000,1628783831
2022-04-08,0.787997,0.792985,0.750893,0.754056,0.754056,1684019539
2022-04-09,0.754041,0.766062,0.754041,0.763585,0.763585,1008306245
2022-04-10,0.763604,0.772466,0.755181,0.756614,0.756614,1046936968
2022-04-11,0.756422,0.756422,0.685738,0.695023,0.695023,2367700413
2022-04-12,0.695169,0.721592,0.694275,0.716614,0.716614,1990027592
2022-04-13,0.716512,0.724759,0.703998,0.723850,0.723850,1678860044
2022-04-14,0.723738,0.740155,0.710586,0.726819,0.726819,1716488200
2022-04-15,0.726796,0.793680,0.726617,0.785675,0.785675,2897060464
2022-04-16,0.785653,0.797129,0.769219,0.781841,0.781841,1526957904
2022-04-17,0.781792,0.784408,0.750553,0.753154,0.753154,1350930297
2022-04-18,0.753187,0.768194,0.732360,0.768017,0.768017,2134418883
2022-04-19,0.768042,0.780191,0.759961,0.775063,0.775063,1834225828
2022-04-20,0.775055,0.775055,0.744376,0.752178,0.752178,1798898557
2022-04-21,0.752177,0.764762,0.725026,0.733178,0.733178,1990297103
2022-04-22,0.733160,0.738162,0.716461,0.719194,0.719194,1881203798
2022-04-23,0.719144,0.724669,0.707360,0.707705,0.707705,1332520641
2022-04-24,0.707487,0.711830,0.698025,0.698739,0.698739,1108217932
2022-04-25,0.698757,0.698940,0.648242,0.694426,0.694426,2377291271
2022-04-26,0.694334,0.704096,0.634417,0.641699,0.641699,2160649427
2022-04-27,0.641794,0.661377,0.640380,0.652318,0.652318,1722422062
2022-04-28,0.652313,0.655344,0.636268,0.644363,0.644363,1546067106
2022-04-29,0.644284,0.645610,0.603904,0.611407,0.611407,1962197662
2022-04-30,0.611405,0.627142,0.581576,0.587091,0.587091,1649221930
2022-05-01,0.587086,0.610232,0.581050,0.607844,0.607844,1657999135
2022-05-02,0.607819,0.629310,0.601790,0.614269,0.614269,1687184077
2022-05-03,0.614218,0.625083,0.598186,0.604849,0.604849,1460418466
2022-05-04,0.604804,0.647845,0.604744,0.646474,0.646474,1959359438
2022-05-05,0.646463,0.655037,0.584812,0.598886,0.598886,2183469244
2022-05-06,0.598832,0.613482,0.591612,0.602570,0.602570,2003273389
2022-05-07,0.602561,0.603840,0.573928,0.582347,0.582347,1250412025
2022-05-08,0.582399,0.582634,0.562757,0.566527,0.566527,1505054300
2022-05-09,0.566519,0.575994,0.480722,0.492940,0.492940,3297478002
2022-05-10,0.492440,0.535299,0.478110,0.513626,0.513626,3455777036
2022-05-11,0.513543,0.521623,0.382426,0.413376,0.413376,5290247987
2022-05-12,0.413399,0.426483,0.344954,0.385206,0.385206,4641055357
2022-05-13,0.385178,0.462336,0.382733,0.423417,0.423417,2949331810
2022-05-14,0.423419,0.439504,0.398658,0.427774,0.427774,2021953522
2022-05-15,0.427687,0.447613,0.416619,0.447371,0.447371,1427697924
2022-05-16,0.447407,0.447569,0.412086,0.422499,0.422499,1839092427
2022-05-17,0.422457,0.439092,0.421152,0.437623,0.437623,1598581919
2022-05-18,0.437636,0.441267,0.406166,0.406166,0.406166,1599734223
2022-05-19,0.406062,0.422363,0.397487,0.419976,0.419976,1557252121
2022-05-20,0.419927,0.437506,0.403178,0.411137,0.411137,1721877559
2022-05-21,0.411128,0.417256,0.405365,0.414673,0.414673,875738315
2022-05-22,0.414691,0.424337,0.411091,0.422337,0.422337,896133087
2022-05-23,0.422260,0.427835,0.404358,0.404671,0.404671,1399019792
2022-05-24,0.404681,0.413289,0.393646,0.408713,0.408713,1394251522
2022-05-25,0.408700,0.412966,0.396760,0.405785,0.405785,1587278448
2022-05-26,0.405799,0.410119,0.380723,0.393170,0.393170,2091610974
2022-05-27,0.393076,0.401280,0.378166,0.381787,0.381787,1927217638
